Timestamp start: 1778160950794
Timestamp end: 1778162211094

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      260.7   115.0    80.4   131.2   145.3   242.1   298.3   327.9   347.6   370.3   397.7   436.4   532.1   796.6  3514.5  70130.7    70041
read      259.1   116.1    80.4   131.6   145.8   238.0   291.3   320.5   341.7   366.1   396.2   440.2   554.6  1071.9  2923.0  90118.7    90162
read      267.3   101.2    80.4   136.2   151.1   256.5   309.7   335.8   353.3   372.9   397.8   433.0   508.5   660.2  1912.7  52063.1    52082
read      306.7   170.4    86.8   142.3   160.4   290.8   343.7   371.9   392.4   416.0   446.4   499.0   692.2  2203.6  4919.8  24339.1    24258
read      315.3   380.6    80.4   133.3   148.9   255.5   312.9   343.8   366.3   393.0   428.1   496.2  2478.6  4906.5  7998.3  72016.3    72013
read      273.1   110.9    80.4   135.5   151.1   258.8   314.1   342.3   362.2   384.7   412.4   455.4   552.1   749.0  1871.5  57974.3    58012
read      276.3   110.4    80.4   139.0   154.9   266.9   317.3   342.9   361.1   381.5   406.1   446.9   541.4   773.0  2815.8  45322.7    45398
read      272.5   112.4    80.4   136.5   151.9   261.4   314.1   340.5   359.0   379.6   404.5   445.1   538.6   736.6  2194.4  50154.9    50177
read      297.5   151.1    80.4   141.0   157.9   282.4   335.1   364.0   384.8   408.8   440.7   497.0   632.8  1921.9  3881.2  34488.7    34504
read      275.4   147.4    80.4   133.2   148.5   254.1   310.6   340.6   362.1   387.0   418.7   469.4   625.3  1510.6  4482.1  65986.0    66010
read      269.5   115.3    80.4   133.4   148.6   250.6   305.6   335.4   356.4   380.5   410.9   460.0   586.2   948.5  2176.4  73915.8    73937
read      267.3   107.2    74.4   135.3   150.1   254.8   308.8   335.5   353.8   373.9   399.6   436.1   519.2   695.3  2558.0  55051.9    55020
read      270.9   116.7    80.4   134.9   150.3   258.5   312.3   339.2   357.8   378.5   403.6   443.8   537.4   753.7  3234.5  53266.9    53235
read      271.0   127.1    80.4   136.6   152.0   250.7   301.8   330.3   350.6   374.8   406.4   459.5   607.1  1365.4  3305.2  97747.1    97743
read      235.8   110.7    93.8   153.9   165.2   226.3   251.7   266.0   275.2   289.1   306.4   335.4   410.5  1335.7  4057.5   5395.6     5419
read      279.1   125.8    86.8   150.7   167.0   270.7   310.0   330.9   345.2   363.7   386.6   422.4   538.4  1445.1  3709.9  14717.7    14764
read      249.2   143.4    93.8   154.7   167.5   238.0   267.4   283.7   295.2   310.7   330.2   362.0   452.5  1371.5  7661.0   7448.3     7451
read      279.3   149.5    80.4   136.7   151.8   262.8   314.5   340.4   359.3   381.5   410.9   465.1   639.6  1871.9  4406.0  48191.4    48208
read      280.0   125.6    86.8   147.7   164.9   269.6   310.7   333.0   348.6   368.0   392.7   430.8   543.1  1665.8  3346.7  16227.8    16149
read      340.4   475.1    80.4   134.1   149.6   257.5   316.7   349.2   372.9   401.8   443.5   541.9  2939.4  5618.4  8059.3  78969.3    78989
