Total number of intervals = 84 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907)
Average QPS expected = 53837

Timestamp start: 1778162272504
Timestamp end: 1778163532799

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      286.6   161.7    80.4   139.5   155.7   260.1   313.1   343.3   366.7   395.4   434.7   508.6   702.6  2157.2  4014.3 108205.1   108181
read      269.1   138.9    80.4   131.6   146.6   246.6   301.0   331.1   352.8   378.6   412.0   467.0   617.9  1288.0  3697.4  80582.3    80515
read      324.1   259.7    74.4   137.9   156.0   288.6   347.9   383.5   409.9   444.0   495.6   576.0   976.7  3677.2  7749.0  37260.6    37149
read      288.2   174.7    86.8   151.8   169.6   271.2   312.2   334.7   350.8   370.6   396.8   437.7   672.0  2383.3  7306.0  13491.5    13444
read      340.4   483.6    80.4   133.7   149.0   254.8   312.4   343.5   366.8   395.1   434.0   533.5  2917.5  5787.3  8130.3  71989.5    72057
read      256.0   105.8    80.4   129.1   142.8   238.4   292.6   321.0   341.1   364.0   392.3   433.1   528.3   734.1  1632.2  69993.2    70041
read      256.5   115.5    80.4   130.0   143.8   235.2   287.4   316.2   337.2   361.7   393.0   440.2   568.3  1032.5  2517.2  90247.3    90162
read      309.5   244.5    80.4   133.1   148.9   269.7   331.8   368.1   396.3   432.0   490.6   584.7   914.9  3189.9  7793.3  52035.2    52082
read      306.2   183.2    86.8   144.9   163.2   288.9   343.0   372.2   392.9   416.8   447.8   498.7   629.1  2368.8  7701.9  24220.4    24258
read      563.3   900.2    80.4   140.7   159.4   288.4   354.6   400.5   445.3   526.9  1386.5  2724.1  4449.8  7807.5  9420.2  71964.1    72013
read      271.9   130.2    80.4   130.9   145.0   252.4   309.6   340.0   362.2   388.2   421.3   474.4   595.3  1008.4  3751.9  57964.4    58012
read      278.8   144.5    80.4   133.7   148.1   261.0   316.2   346.6   369.1   394.7   426.4   477.5   593.8  1346.4  4890.0  45355.7    45398
read      277.5   137.0    80.4   131.7   146.2   259.7   316.5   347.3   370.0   396.1   429.0   483.0   594.1   966.2  3474.7  50282.5    50177
read      319.4   203.0    80.4   138.3   156.8   296.0   357.3   391.1   415.4   444.9   487.0   549.7   753.2  2620.5  7185.0  34540.1    34504
read      260.0   107.6    80.4   131.2   145.5   242.9   296.8   324.9   344.3   367.2   395.3   435.7   539.8   833.2  1985.7  66041.5    66010
read      256.4   110.3    80.4   129.4   143.0   237.1   291.1   320.0   340.6   364.3   393.5   435.6   540.4   867.0  2664.7  73796.3    73937
read      276.5   141.5    74.4   128.9   142.8   253.3   312.5   345.1   369.9   398.6   434.8   498.4   632.6  1541.8  3348.8  54982.9    55020
read      288.2   149.6    80.4   130.8   145.9   264.0   325.0   360.3   386.2   416.6   456.9   522.4   671.1  1585.7  3649.5  53296.3    53235
read      296.3   197.3    80.4   139.3   155.9   262.5   317.3   349.5   374.1   404.6   450.5   536.3   871.6  2575.0  5860.1  97587.3    97743
read      263.6   197.1   101.3   160.9   173.5   243.3   274.5   293.3   307.7   324.5   348.6   392.9   578.4  2336.8  7831.6   5414.3     5419
read      298.6   196.1    93.8   151.5   169.8   276.7   320.1   344.4   362.7   384.2   412.3   463.8   856.5  2606.9  7195.9  14731.9    14764
read      255.9   148.2    93.8   151.9   164.5   233.1   265.5   285.1   299.9   319.5   348.8   401.8   685.4  2092.8  4002.4   7431.2     7451
read      355.1   373.9    86.8   137.5   153.9   285.8   351.9   396.4   433.6   489.7   561.9   692.0  1768.7  5062.7  8099.9  48134.9    48208
read      280.1   201.9    86.8   143.5   160.5   258.1   298.7   321.0   338.2   358.5   385.4   431.1   781.3  2672.1  7527.5  16167.7    16149
read      342.1   472.9    80.4   133.3   148.7   257.3   315.0   347.0   371.7   402.4   450.4   564.7  2902.6  5617.2  8103.3  78999.8    78989
read      294.6   202.2    86.8   142.4   160.2   270.6   317.5   343.3   362.6   385.2   414.8   467.5   896.6  2690.2  7476.0  18935.8    18886
read      320.3   420.0    80.4   131.7   146.4   251.2   306.7   336.8   359.2   386.8   426.9   522.1  2604.8  5052.8 10097.3  75896.3    75954
read      291.2   169.3    80.4   135.3   150.9   269.9   322.1   352.0   374.8   403.6   445.6   519.5   685.9  1883.5  5096.4  44515.3    44409
read      266.5    94.9    86.8   145.3   163.0   259.9   295.8   315.7   330.3   346.7   370.1   406.3   504.8   868.0  1890.4  16490.7    16431
read      325.9   422.1    80.4   133.0   148.1   252.2   308.7   340.2   364.0   393.5   435.5   544.0  2657.3  5001.3  8064.7  85585.9    85707
read      260.5   115.0    80.4   131.6   145.8   247.4   299.2   324.8   342.5   363.5   389.6   429.7   527.7   787.6  2969.5  58209.9    58253
read      275.9   144.2    80.4   137.6   152.6   252.0   303.7   332.9   354.5   380.9   417.0   481.4   656.1  1662.7  3915.0 103718.4   103867
read      280.7   101.8    80.4   144.7   162.5   273.5   315.9   338.9   355.7   374.6   400.8   441.8   544.0   790.8  2159.3  21660.1    21604
read      332.0   432.2    80.4   136.9   152.9   261.3   317.0   349.3   373.6   404.0   449.9   547.4  2624.6  5709.5  8079.0  90522.3    90401
read      269.4   121.7    80.4   133.0   148.2   248.0   301.2   331.3   352.9   378.8   412.8   468.7   623.1  1086.6  2542.8  84381.7    84467
read      281.1   139.8    80.4   138.1   154.1   256.8   309.7   339.8   362.9   391.0   428.9   497.8   679.2  1381.8  3785.9  99891.5    99700
read      314.7   137.8    80.4   142.3   161.9   301.8   360.5   392.1   414.7   441.5   479.5   538.0   652.9  1020.1  2892.2  31992.1    32052
read      282.4   125.4    86.8   159.8   178.9   274.2   310.0   329.7   343.8   362.1   385.2   423.3   522.2   988.8  5436.2  18171.8    18173
read      262.3   121.3    80.4   131.0   145.7   246.2   299.5   327.3   346.1   368.5   395.9   435.5   532.2   872.6  3839.3  67713.9    67789
read      269.6   129.2    80.4   135.2   150.8   258.0   308.6   334.3   351.9   372.0   397.9   434.8   521.5   961.0  4401.3  51925.7    51929
read      262.7   122.0    80.4   131.6   146.5   244.4   296.7   325.3   345.3   368.9   398.3   443.9   561.1   902.8  3364.0  83815.5    83850
read      261.0    85.5    86.8   154.8   173.0   258.2   287.9   304.1   315.6   329.7   346.4   374.2   435.6   550.2  2886.3  18640.1    18614
read      268.0    88.6    80.4   146.5   163.6   265.7   302.8   321.4   335.8   351.6   371.6   401.9   465.5   591.1  2435.5  29314.0    29315
read      269.6   113.7    80.4   137.9   153.3   252.3   302.2   329.9   349.6   373.2   403.9   457.7   583.3   800.9  2814.9 108023.5   108090
read      269.9   104.7    80.4   149.7   166.9   267.4   303.1   321.5   335.7   350.9   370.6   400.4   464.8   594.5  3108.9  27088.8    27024
