2026-05-07T13:57:52.291479 start scheduler
2026-05-07T13:57:52.293754 update_cores memcached [0,1]
2026-05-07T13:57:52.496918 update_cores memcached [0]
2026-05-07T13:57:52.711100 start radix [1,2,3] 3
2026-05-07T13:58:06.445122 end radix
2026-05-07T13:58:06.445170 custom radix elapsed%3D13.7s
2026-05-07T13:58:06.649865 start streamcluster [1,2,3] 3
2026-05-07T13:58:09.480664 update_cores memcached [0,1]
2026-05-07T13:58:09.545779 update_cores streamcluster [2,3]
2026-05-07T13:58:09.949786 update_cores memcached [0,1,2]
2026-05-07T13:58:10.008706 update_cores streamcluster [3]
2026-05-07T13:58:11.622770 update_cores memcached [0,1]
2026-05-07T13:58:11.680494 update_cores streamcluster [2,3]
2026-05-07T13:58:12.086828 update_cores memcached [0]
2026-05-07T13:58:12.161082 update_cores streamcluster [1,2,3]
2026-05-07T13:58:12.970856 update_cores memcached [0,1]
2026-05-07T13:58:13.042319 update_cores streamcluster [2,3]
2026-05-07T13:58:13.447431 update_cores memcached [0,1,2]
2026-05-07T13:58:13.504429 update_cores streamcluster [3]
2026-05-07T13:58:15.118306 update_cores memcached [0,1]
2026-05-07T13:58:15.177466 update_cores streamcluster [2,3]
2026-05-07T13:58:15.583669 update_cores memcached [0]
2026-05-07T13:58:15.650986 update_cores streamcluster [1,2,3]
2026-05-07T13:58:16.461194 update_cores memcached [0,1]
2026-05-07T13:58:16.527212 update_cores streamcluster [2,3]
2026-05-07T13:58:16.932137 update_cores memcached [0,1,2]
2026-05-07T13:58:16.991113 update_cores streamcluster [3]
2026-05-07T13:58:18.605650 update_cores memcached [0,1]
2026-05-07T13:58:18.663989 update_cores streamcluster [2,3]
2026-05-07T13:58:19.070347 update_cores memcached [0]
2026-05-07T13:58:19.133743 update_cores streamcluster [1,2,3]
2026-05-07T13:58:19.942301 update_cores memcached [0,1]
2026-05-07T13:58:20.026356 update_cores streamcluster [2,3]
2026-05-07T13:58:20.431398 update_cores memcached [0,1,2]
2026-05-07T13:58:20.485317 update_cores streamcluster [3]
2026-05-07T13:58:22.099622 update_cores memcached [0,1]
2026-05-07T13:58:22.161529 update_cores streamcluster [2,3]
2026-05-07T13:58:22.567101 update_cores memcached [0]
2026-05-07T13:58:22.628511 update_cores streamcluster [1,2,3]
2026-05-07T13:58:23.443696 update_cores memcached [0,1]
2026-05-07T13:58:23.545183 update_cores streamcluster [2,3]
2026-05-07T13:58:23.951421 update_cores memcached [0,1,2]
2026-05-07T13:58:24.065535 update_cores streamcluster [3]
2026-05-07T13:58:53.148671 update_cores memcached [0,1]
2026-05-07T13:58:53.201264 update_cores streamcluster [2,3]
2026-05-07T13:58:53.606442 update_cores memcached [0]
2026-05-07T13:58:53.660766 update_cores streamcluster [1,2,3]
2026-05-07T13:58:55.276511 update_cores memcached [0,1]
2026-05-07T13:58:55.341381 update_cores streamcluster [2,3]
2026-05-07T13:58:55.746053 update_cores memcached [0,1,2]
2026-05-07T13:58:55.801846 update_cores streamcluster [3]
2026-05-07T13:58:57.012306 update_cores memcached [0,1]
2026-05-07T13:58:57.068704 update_cores streamcluster [2,3]
2026-05-07T13:58:57.472909 update_cores memcached [0]
2026-05-07T13:58:57.544438 update_cores streamcluster [1,2,3]
2026-05-07T13:58:59.167150 update_cores memcached [0,1]
2026-05-07T13:58:59.242602 update_cores streamcluster [2,3]
2026-05-07T13:58:59.647381 update_cores memcached [0,1,2]
2026-05-07T13:58:59.704345 update_cores streamcluster [3]
2026-05-07T13:59:00.913964 update_cores memcached [0,1]
2026-05-07T13:59:00.965165 update_cores streamcluster [2,3]
2026-05-07T13:59:01.369891 update_cores memcached [0]
2026-05-07T13:59:01.422165 update_cores streamcluster [1,2,3]
2026-05-07T13:59:03.040264 update_cores memcached [0,1]
2026-05-07T13:59:03.109420 update_cores streamcluster [2,3]
2026-05-07T13:59:03.514020 update_cores memcached [0,1,2]
2026-05-07T13:59:03.573829 update_cores streamcluster [3]
2026-05-07T13:59:04.783515 update_cores memcached [0,1]
2026-05-07T13:59:04.835859 update_cores streamcluster [2,3]
2026-05-07T13:59:05.241351 update_cores memcached [0]
2026-05-07T13:59:05.306442 update_cores streamcluster [1,2,3]
2026-05-07T13:59:06.926151 update_cores memcached [0,1]
2026-05-07T13:59:06.987096 update_cores streamcluster [2,3]
2026-05-07T13:59:07.392099 update_cores memcached [0,1,2]
2026-05-07T13:59:07.442389 update_cores streamcluster [3]
2026-05-07T13:59:09.056330 update_cores memcached [0,1]
2026-05-07T13:59:09.115323 update_cores streamcluster [2,3]
2026-05-07T13:59:09.520437 update_cores memcached [0]
2026-05-07T13:59:09.574650 update_cores streamcluster [1,2,3]
2026-05-07T13:59:10.386091 update_cores memcached [0,1]
2026-05-07T13:59:10.468636 update_cores streamcluster [2,3]
2026-05-07T13:59:10.874128 update_cores memcached [0,1,2]
2026-05-07T13:59:10.938129 update_cores streamcluster [3]
2026-05-07T13:59:12.954822 update_cores memcached [0,1]
2026-05-07T13:59:13.010058 update_cores streamcluster [2,3]
2026-05-07T13:59:24.727443 update_cores memcached [0]
2026-05-07T13:59:24.784318 update_cores streamcluster [1,2,3]
2026-05-07T13:59:26.400453 update_cores memcached [0,1]
2026-05-07T13:59:26.464649 update_cores streamcluster [2,3]
2026-05-07T13:59:26.869402 update_cores memcached [0,1,2]
2026-05-07T13:59:26.920304 update_cores streamcluster [3]
2026-05-07T13:59:28.130845 update_cores memcached [0,1]
2026-05-07T13:59:28.187113 update_cores streamcluster [2,3]
2026-05-07T13:59:28.591520 update_cores memcached [0]
2026-05-07T13:59:28.647340 update_cores streamcluster [1,2,3]
2026-05-07T13:59:30.265482 update_cores memcached [0,1]
2026-05-07T13:59:30.327658 update_cores streamcluster [2,3]
2026-05-07T13:59:30.732130 update_cores memcached [0,1,2]
2026-05-07T13:59:30.787015 update_cores streamcluster [3]
2026-05-07T13:59:31.996518 update_cores memcached [0,1]
2026-05-07T13:59:32.048616 update_cores streamcluster [2,3]
2026-05-07T13:59:32.454290 update_cores memcached [0]
2026-05-07T13:59:32.507643 update_cores streamcluster [1,2,3]
2026-05-07T13:59:34.126448 update_cores memcached [0,1]
2026-05-07T13:59:34.201068 update_cores streamcluster [2,3]
2026-05-07T13:59:34.606050 update_cores memcached [0,1,2]
2026-05-07T13:59:34.662875 update_cores streamcluster [3]
2026-05-07T13:59:35.872552 update_cores memcached [0,1]
2026-05-07T13:59:35.920490 update_cores streamcluster [2,3]
2026-05-07T13:59:36.324842 update_cores memcached [0]
2026-05-07T13:59:36.384537 update_cores streamcluster [1,2,3]
2026-05-07T13:59:37.999503 update_cores memcached [0,1]
2026-05-07T13:59:38.082296 update_cores streamcluster [2,3]
2026-05-07T13:59:38.489524 update_cores memcached [0,1,2]
2026-05-07T13:59:38.608021 update_cores streamcluster [3]
2026-05-07T14:00:24.331162 update_cores memcached [0,1]
2026-05-07T14:00:24.381437 update_cores streamcluster [2,3]
2026-05-07T14:00:24.785950 update_cores memcached [0]
2026-05-07T14:00:24.838334 update_cores streamcluster [1,2,3]
2026-05-07T14:00:26.454374 update_cores memcached [0,1]
2026-05-07T14:00:26.526565 update_cores streamcluster [2,3]
2026-05-07T14:00:26.930771 update_cores memcached [0,1,2]
2026-05-07T14:00:26.987829 update_cores streamcluster [3]
2026-05-07T14:00:28.197954 update_cores memcached [0,1]
2026-05-07T14:00:28.253598 update_cores streamcluster [2,3]
2026-05-07T14:00:28.658183 update_cores memcached [0]
2026-05-07T14:00:28.710587 update_cores streamcluster [1,2,3]
2026-05-07T14:00:30.330776 update_cores memcached [0,1]
2026-05-07T14:00:30.406226 update_cores streamcluster [2,3]
2026-05-07T14:00:30.810567 update_cores memcached [0,1,2]
2026-05-07T14:00:30.870279 update_cores streamcluster [3]
2026-05-07T14:00:32.080263 update_cores memcached [0,1]
2026-05-07T14:00:32.134557 update_cores streamcluster [2,3]
2026-05-07T14:00:32.539510 update_cores memcached [0]
2026-05-07T14:00:32.604858 update_cores streamcluster [1,2,3]
2026-05-07T14:00:34.224407 update_cores memcached [0,1]
2026-05-07T14:00:34.297678 update_cores streamcluster [2,3]
2026-05-07T14:00:34.702120 update_cores memcached [0,1,2]
2026-05-07T14:00:34.756177 update_cores streamcluster [3]
2026-05-07T14:00:35.966142 update_cores memcached [0,1]
2026-05-07T14:00:36.018078 update_cores streamcluster [2,3]
2026-05-07T14:00:36.422275 update_cores memcached [0]
2026-05-07T14:00:36.482611 update_cores streamcluster [1,2,3]
2026-05-07T14:00:54.270498 update_cores memcached [0,1]
2026-05-07T14:00:54.365132 update_cores streamcluster [2,3]
2026-05-07T14:00:54.770624 update_cores memcached [0,1,2]
2026-05-07T14:00:54.856396 update_cores streamcluster [3]
2026-05-07T14:01:08.175171 update_cores memcached [0,1]
2026-05-07T14:01:08.218817 update_cores streamcluster [2,3]
2026-05-07T14:01:08.622761 update_cores memcached [0]
2026-05-07T14:01:08.673157 update_cores streamcluster [1,2,3]
2026-05-07T14:01:24.432799 update_cores memcached [0,1]
2026-05-07T14:01:24.519693 update_cores streamcluster [2,3]
2026-05-07T14:01:24.924208 update_cores memcached [0,1,2]
2026-05-07T14:01:24.991497 update_cores streamcluster [3]
2026-05-07T14:01:26.606653 update_cores memcached [0,1]
2026-05-07T14:01:26.664733 update_cores streamcluster [2,3]
2026-05-07T14:01:27.070750 update_cores memcached [0]
2026-05-07T14:01:27.142259 update_cores streamcluster [1,2,3]
2026-05-07T14:01:28.363826 update_cores memcached [0,1]
2026-05-07T14:01:28.433911 update_cores streamcluster [2,3]
2026-05-07T14:01:28.838346 update_cores memcached [0,1,2]
2026-05-07T14:01:28.894801 update_cores streamcluster [3]
2026-05-07T14:01:30.509841 update_cores memcached [0,1]
2026-05-07T14:01:30.576929 update_cores streamcluster [2,3]
2026-05-07T14:01:30.982292 update_cores memcached [0]
2026-05-07T14:01:31.061396 update_cores streamcluster [1,2,3]
2026-05-07T14:01:32.280411 update_cores memcached [0,1]
2026-05-07T14:01:32.357329 update_cores streamcluster [2,3]
2026-05-07T14:01:32.763230 update_cores memcached [0,1,2]
2026-05-07T14:01:32.839491 update_cores streamcluster [3]
2026-05-07T14:01:34.454415 update_cores memcached [0,1]
2026-05-07T14:01:34.517006 update_cores streamcluster [2,3]
2026-05-07T14:01:34.922309 update_cores memcached [0]
2026-05-07T14:01:34.984212 update_cores streamcluster [1,2,3]
2026-05-07T14:01:36.203684 update_cores memcached [0,1]
2026-05-07T14:01:36.269104 update_cores streamcluster [2,3]
2026-05-07T14:01:36.675349 update_cores memcached [0,1,2]
2026-05-07T14:01:36.749580 update_cores streamcluster [3]
2026-05-07T14:01:37.960966 update_cores memcached [0,1]
2026-05-07T14:01:38.013105 update_cores streamcluster [2,3]
2026-05-07T14:01:38.416647 update_cores memcached [0]
2026-05-07T14:01:38.468966 update_cores streamcluster [1,2,3]
2026-05-07T14:01:53.447207 update_cores memcached [0,1]
2026-05-07T14:01:53.548225 update_cores streamcluster [2,3]
2026-05-07T14:01:53.956586 update_cores memcached [0,1,2]
2026-05-07T14:01:54.075850 update_cores streamcluster [3]
2026-05-07T14:02:08.649644 update_cores memcached [0,1]
2026-05-07T14:02:08.698178 update_cores streamcluster [2,3]
2026-05-07T14:02:09.102092 update_cores memcached [0]
2026-05-07T14:02:09.156573 update_cores streamcluster [1,2,3]
2026-05-07T14:02:39.091621 update_cores memcached [0,1]
2026-05-07T14:02:39.171086 update_cores streamcluster [2,3]
2026-05-07T14:02:39.578104 update_cores memcached [0,1,2]
2026-05-07T14:02:39.691527 update_cores streamcluster [3]
2026-05-07T14:02:53.418959 update_cores memcached [0,1]
2026-05-07T14:02:53.467835 update_cores streamcluster [2,3]
2026-05-07T14:02:53.871426 update_cores memcached [0]
2026-05-07T14:02:53.925275 update_cores streamcluster [1,2,3]
2026-05-07T14:03:09.268089 update_cores memcached [0,1]
2026-05-07T14:03:09.347281 update_cores streamcluster [2,3]
2026-05-07T14:03:09.751695 update_cores memcached [0,1,2]
2026-05-07T14:03:09.817517 update_cores streamcluster [3]
2026-05-07T14:03:11.834105 update_cores memcached [0,1]
2026-05-07T14:03:11.889371 update_cores streamcluster [2,3]
2026-05-07T14:03:23.605477 update_cores memcached [0]
2026-05-07T14:03:23.660398 update_cores streamcluster [1,2,3]
2026-05-07T14:03:35.781284 end streamcluster
2026-05-07T14:03:35.781312 custom streamcluster elapsed%3D329.1s
2026-05-07T14:03:36.054948 start freqmine [1,2,3] 3
2026-05-07T14:03:38.882140 update_cores memcached [0,1]
2026-05-07T14:03:38.962122 update_cores freqmine [2,3]
2026-05-07T14:03:39.371426 update_cores memcached [0,1,2]
2026-05-07T14:03:39.476556 update_cores freqmine [3]
2026-05-07T14:03:54.026206 update_cores memcached [0,1]
2026-05-07T14:03:54.075367 update_cores freqmine [2,3]
2026-05-07T14:03:54.479869 update_cores memcached [0]
2026-05-07T14:03:54.528086 update_cores freqmine [1,2,3]
2026-05-07T14:04:07.858568 update_cores memcached [0,1]
2026-05-07T14:04:07.934586 update_cores freqmine [2,3]
2026-05-07T14:04:08.340719 update_cores memcached [0,1,2]
2026-05-07T14:04:08.406957 update_cores freqmine [3]
2026-05-07T14:04:39.075387 update_cores memcached [0,1]
2026-05-07T14:04:39.132639 update_cores freqmine [2,3]
2026-05-07T14:04:39.539548 update_cores memcached [0]
2026-05-07T14:04:39.633122 update_cores freqmine [1,2,3]
2026-05-07T14:04:40.847202 update_cores memcached [0,1]
2026-05-07T14:04:40.915974 update_cores freqmine [2,3]
2026-05-07T14:04:41.321622 update_cores memcached [0,1,2]
2026-05-07T14:04:41.385310 update_cores freqmine [3]
2026-05-07T14:04:42.998973 update_cores memcached [0,1]
2026-05-07T14:04:43.056941 update_cores freqmine [2,3]
2026-05-07T14:04:43.463568 update_cores memcached [0]
2026-05-07T14:04:43.532020 update_cores freqmine [1,2,3]
2026-05-07T14:04:44.341103 update_cores memcached [0,1]
2026-05-07T14:04:44.424495 update_cores freqmine [2,3]
2026-05-07T14:04:44.830389 update_cores memcached [0,1,2]
2026-05-07T14:04:44.893198 update_cores freqmine [3]
2026-05-07T14:04:46.509150 update_cores memcached [0,1]
2026-05-07T14:04:46.569263 update_cores freqmine [2,3]
2026-05-07T14:04:46.975765 update_cores memcached [0]
2026-05-07T14:04:47.045489 update_cores freqmine [1,2,3]
2026-05-07T14:04:48.267542 update_cores memcached [0,1]
2026-05-07T14:04:48.333437 update_cores freqmine [2,3]
2026-05-07T14:04:48.738314 update_cores memcached [0,1,2]
2026-05-07T14:04:48.801183 update_cores freqmine [3]
2026-05-07T14:04:50.415646 update_cores memcached [0,1]
2026-05-07T14:04:50.472396 update_cores freqmine [2,3]
2026-05-07T14:04:50.878780 update_cores memcached [0]
2026-05-07T14:04:50.951127 update_cores freqmine [1,2,3]
2026-05-07T14:04:52.166487 update_cores memcached [0,1]
2026-05-07T14:04:52.235509 update_cores freqmine [2,3]
2026-05-07T14:04:52.639448 update_cores memcached [0,1,2]
2026-05-07T14:04:52.693742 update_cores freqmine [3]
2026-05-07T14:04:55.112244 update_cores memcached [0,1]
2026-05-07T14:04:55.167453 update_cores freqmine [2,3]
2026-05-07T14:05:09.304762 update_cores memcached [0]
2026-05-07T14:05:09.376338 update_cores freqmine [1,2,3]
2026-05-07T14:05:11.396614 update_cores memcached [0,1]
2026-05-07T14:05:11.491499 update_cores freqmine [2,3]
2026-05-07T14:05:13.106071 update_cores memcached [0]
2026-05-07T14:05:13.172809 update_cores freqmine [1,2,3]
2026-05-07T14:05:15.193254 update_cores memcached [0,1]
2026-05-07T14:05:15.259611 update_cores freqmine [2,3]
2026-05-07T14:05:16.874621 update_cores memcached [0]
2026-05-07T14:05:16.923385 update_cores freqmine [1,2,3]
2026-05-07T14:05:18.947249 update_cores memcached [0,1]
2026-05-07T14:05:19.018544 update_cores freqmine [2,3]
2026-05-07T14:05:20.632232 update_cores memcached [0]
2026-05-07T14:05:20.679173 update_cores freqmine [1,2,3]
2026-05-07T14:05:22.697646 update_cores memcached [0,1]
2026-05-07T14:05:22.787293 update_cores freqmine [2,3]
2026-05-07T14:05:23.192551 update_cores memcached [0,1,2]
2026-05-07T14:05:23.264164 update_cores freqmine [3]
2026-05-07T14:05:39.000833 update_cores memcached [0,1]
2026-05-07T14:05:39.053656 update_cores freqmine [2,3]
2026-05-07T14:05:39.458112 update_cores memcached [0]
2026-05-07T14:05:39.531655 update_cores freqmine [1,2,3]
2026-05-07T14:05:41.149506 update_cores memcached [0,1]
2026-05-07T14:05:41.224462 update_cores freqmine [2,3]
2026-05-07T14:05:41.629144 update_cores memcached [0,1,2]
2026-05-07T14:05:41.684624 update_cores freqmine [3]
2026-05-07T14:05:42.894249 update_cores memcached [0,1]
2026-05-07T14:05:42.943930 update_cores freqmine [2,3]
2026-05-07T14:05:43.348573 update_cores memcached [0]
2026-05-07T14:05:43.415559 update_cores freqmine [1,2,3]
2026-05-07T14:05:45.030567 update_cores memcached [0,1]
2026-05-07T14:05:45.097855 update_cores freqmine [2,3]
2026-05-07T14:05:45.502664 update_cores memcached [0,1,2]
2026-05-07T14:05:45.558556 update_cores freqmine [3]
2026-05-07T14:05:46.768563 update_cores memcached [0,1]
2026-05-07T14:05:46.823173 update_cores freqmine [2,3]
2026-05-07T14:05:47.227346 update_cores memcached [0]
2026-05-07T14:05:47.291795 update_cores freqmine [1,2,3]
2026-05-07T14:05:48.916075 update_cores memcached [0,1]
2026-05-07T14:05:49.010273 update_cores freqmine [2,3]
2026-05-07T14:05:49.415646 update_cores memcached [0,1,2]
2026-05-07T14:05:49.471504 update_cores freqmine [3]
2026-05-07T14:05:50.681433 update_cores memcached [0,1]
2026-05-07T14:05:50.734287 update_cores freqmine [2,3]
2026-05-07T14:05:51.138276 update_cores memcached [0]
2026-05-07T14:05:51.193910 update_cores freqmine [1,2,3]
2026-05-07T14:05:52.809912 update_cores memcached [0,1]
2026-05-07T14:05:52.899332 update_cores freqmine [2,3]
2026-05-07T14:05:53.304295 update_cores memcached [0,1,2]
2026-05-07T14:05:53.360538 update_cores freqmine [3]
2026-05-07T14:05:54.975598 update_cores memcached [0,1]
2026-05-07T14:05:55.034672 update_cores freqmine [2,3]
2026-05-07T14:05:55.438894 update_cores memcached [0]
2026-05-07T14:05:55.517140 update_cores freqmine [1,2,3]
2026-05-07T14:05:56.732687 update_cores memcached [0,1]
2026-05-07T14:05:56.816387 update_cores freqmine [2,3]
2026-05-07T14:05:57.220634 update_cores memcached [0,1,2]
2026-05-07T14:05:57.289826 update_cores freqmine [3]
2026-05-07T14:05:58.903911 update_cores memcached [0,1]
2026-05-07T14:05:58.961554 update_cores freqmine [2,3]
2026-05-07T14:05:59.366377 update_cores memcached [0]
2026-05-07T14:05:59.437951 update_cores freqmine [1,2,3]
2026-05-07T14:06:00.652537 update_cores memcached [0,1]
2026-05-07T14:06:00.744340 update_cores freqmine [2,3]
2026-05-07T14:06:01.148938 update_cores memcached [0,1,2]
2026-05-07T14:06:01.207312 update_cores freqmine [3]
2026-05-07T14:06:02.820617 update_cores memcached [0,1]
2026-05-07T14:06:02.876480 update_cores freqmine [2,3]
2026-05-07T14:06:03.283315 update_cores memcached [0]
2026-05-07T14:06:03.342967 update_cores freqmine [1,2,3]
2026-05-07T14:06:04.563602 update_cores memcached [0,1]
2026-05-07T14:06:04.676735 update_cores freqmine [2,3]
2026-05-07T14:06:05.081120 update_cores memcached [0,1,2]
