2026-05-07T14:42:13.120566 start scheduler
2026-05-07T14:42:13.123169 update_cores memcached [0,1]
2026-05-07T14:42:13.326810 update_cores memcached [0]
2026-05-07T14:42:13.556825 start radix [1,2,3] 3
2026-05-07T14:42:27.358108 end radix
2026-05-07T14:42:27.358159 custom radix elapsed%3D13.8s
2026-05-07T14:42:27.578998 start streamcluster [1,2,3] 3
2026-05-07T14:42:30.409780 update_cores memcached [0,1]
2026-05-07T14:42:30.492962 update_cores streamcluster [2,3]
2026-05-07T14:42:30.899086 update_cores memcached [0,1,2]
2026-05-07T14:42:30.982628 update_cores streamcluster [3]
2026-05-07T14:42:33.000181 update_cores memcached [0,1]
2026-05-07T14:42:33.059187 update_cores streamcluster [2,3]
2026-05-07T14:42:33.464163 update_cores memcached [0]
2026-05-07T14:42:33.536495 update_cores streamcluster [1,2,3]
2026-05-07T14:42:34.750840 update_cores memcached [0,1]
2026-05-07T14:42:34.827552 update_cores streamcluster [2,3]
2026-05-07T14:42:35.233109 update_cores memcached [0,1,2]
2026-05-07T14:42:35.301403 update_cores streamcluster [3]
2026-05-07T14:42:37.320398 update_cores memcached [0,1]
2026-05-07T14:42:37.380134 update_cores streamcluster [2,3]
2026-05-07T14:42:37.785959 update_cores memcached [0]
2026-05-07T14:42:37.855788 update_cores streamcluster [1,2,3]
2026-05-07T14:42:39.079044 update_cores memcached [0,1]
2026-05-07T14:42:39.174081 update_cores streamcluster [2,3]
2026-05-07T14:42:39.579082 update_cores memcached [0,1,2]
2026-05-07T14:42:39.648542 update_cores streamcluster [3]
2026-05-07T14:42:41.666901 update_cores memcached [0,1]
2026-05-07T14:42:41.728156 update_cores streamcluster [2,3]
2026-05-07T14:42:44.164285 update_cores memcached [0,1,2]
2026-05-07T14:42:44.295101 update_cores streamcluster [3]
2026-05-07T14:43:14.613270 update_cores memcached [0,1]
2026-05-07T14:43:14.667834 update_cores streamcluster [2,3]
2026-05-07T14:43:15.073369 update_cores memcached [0]
2026-05-07T14:43:15.144364 update_cores streamcluster [1,2,3]
2026-05-07T14:43:16.773405 update_cores memcached [0,1]
2026-05-07T14:43:16.842113 update_cores streamcluster [2,3]
2026-05-07T14:43:17.246943 update_cores memcached [0,1,2]
2026-05-07T14:43:17.319596 update_cores streamcluster [3]
2026-05-07T14:43:18.531615 update_cores memcached [0,1]
2026-05-07T14:43:18.586214 update_cores streamcluster [2,3]
2026-05-07T14:43:18.990777 update_cores memcached [0]
2026-05-07T14:43:19.057526 update_cores streamcluster [1,2,3]
2026-05-07T14:43:20.680825 update_cores memcached [0,1]
2026-05-07T14:43:20.776782 update_cores streamcluster [2,3]
2026-05-07T14:43:21.182566 update_cores memcached [0,1,2]
2026-05-07T14:43:21.246987 update_cores streamcluster [3]
2026-05-07T14:43:22.457651 update_cores memcached [0,1]
2026-05-07T14:43:22.515573 update_cores streamcluster [2,3]
2026-05-07T14:43:22.920760 update_cores memcached [0]
2026-05-07T14:43:22.990234 update_cores streamcluster [1,2,3]
2026-05-07T14:43:24.610525 update_cores memcached [0,1]
2026-05-07T14:43:24.682946 update_cores streamcluster [2,3]
2026-05-07T14:43:25.088280 update_cores memcached [0,1,2]
2026-05-07T14:43:25.155276 update_cores streamcluster [3]
2026-05-07T14:43:26.365950 update_cores memcached [0,1]
2026-05-07T14:43:26.418368 update_cores streamcluster [2,3]
2026-05-07T14:43:26.823959 update_cores memcached [0]
2026-05-07T14:43:26.904638 update_cores streamcluster [1,2,3]
2026-05-07T14:43:28.522423 update_cores memcached [0,1]
2026-05-07T14:43:28.589575 update_cores streamcluster [2,3]
2026-05-07T14:43:28.993820 update_cores memcached [0,1,2]
2026-05-07T14:43:29.069739 update_cores streamcluster [3]
2026-05-07T14:43:31.087961 update_cores memcached [0,1]
2026-05-07T14:43:31.141529 update_cores streamcluster [2,3]
2026-05-07T14:43:45.690051 update_cores memcached [0]
2026-05-07T14:43:45.751338 update_cores streamcluster [1,2,3]
2026-05-07T14:43:47.368217 update_cores memcached [0,1]
2026-05-07T14:43:47.435749 update_cores streamcluster [2,3]
2026-05-07T14:43:47.840452 update_cores memcached [0,1,2]
2026-05-07T14:43:47.899470 update_cores streamcluster [3]
2026-05-07T14:43:49.109225 update_cores memcached [0,1]
2026-05-07T14:43:49.162232 update_cores streamcluster [2,3]
2026-05-07T14:43:49.566564 update_cores memcached [0]
2026-05-07T14:43:49.635175 update_cores streamcluster [1,2,3]
2026-05-07T14:43:51.251831 update_cores memcached [0,1]
2026-05-07T14:43:51.312625 update_cores streamcluster [2,3]
2026-05-07T14:43:51.716791 update_cores memcached [0,1,2]
2026-05-07T14:43:51.772436 update_cores streamcluster [3]
2026-05-07T14:43:52.982268 update_cores memcached [0,1]
2026-05-07T14:43:53.029619 update_cores streamcluster [2,3]
2026-05-07T14:43:53.433838 update_cores memcached [0]
2026-05-07T14:43:53.500358 update_cores streamcluster [1,2,3]
2026-05-07T14:43:55.118352 update_cores memcached [0,1]
2026-05-07T14:43:55.183368 update_cores streamcluster [2,3]
2026-05-07T14:43:55.587630 update_cores memcached [0,1,2]
2026-05-07T14:43:55.646137 update_cores streamcluster [3]
2026-05-07T14:43:56.855332 update_cores memcached [0,1]
2026-05-07T14:43:56.902010 update_cores streamcluster [2,3]
2026-05-07T14:43:57.306003 update_cores memcached [0]
