Random waveform, supplied seed
Total number of intervals = 84 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907)
Average QPS expected = 53837
Timestamp start: 1778164933566
Timestamp end: 1778166193869

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      266.1   169.5    93.8   162.3   176.2   250.0   282.0   300.3   314.5   331.8   354.7   393.4   519.4  2120.6  7573.1   6925.8     6927
read      324.9   267.1    80.4   137.7   154.1   279.4   345.5   385.2   415.7   456.3   518.5   624.4   993.6  3838.8  7900.0  52870.4    52892
read      289.1   198.4    80.4   137.9   153.3   255.4   310.2   341.7   365.6   394.5   434.0   514.4   814.3  2932.0  5459.8  98872.0    98921
read      272.0   124.3    74.4   134.0   149.3   254.8   309.1   338.0   358.7   382.7   413.0   461.8   584.7   911.9  3651.2  61093.0    61129
read      325.7   213.2    86.8   142.7   161.0   292.2   355.1   391.7   419.5   455.0   507.0   589.1   904.8  2746.5  5026.1  40641.8    40613
read      291.2   151.7    80.4   136.5   151.5   268.2   328.3   362.2   386.9   416.1   454.9   520.5   664.9  1459.1  4275.7  53138.9    53226
read      303.4   163.6    80.4   140.9   157.5   281.3   339.9   372.3   396.1   424.7   463.4   531.5   691.3  1929.7  4072.2  38647.6    38560
read      288.4   266.3    80.4   136.6   151.6   249.8   303.8   335.1   358.4   386.7   425.2   498.7   813.1  4004.8  7691.3 103362.7   103465
read      272.4   135.2    80.4   137.1   151.8   247.4   299.8   330.1   352.3   379.2   415.4   479.1   652.2  1399.4  3221.4 104717.1   104758
read      260.9   120.4    80.4   133.2   147.4   238.7   290.6   319.5   340.8   365.8   397.3   447.6   583.5  1112.2  2914.8  94712.7    94759
read      305.2   167.4    80.4   142.1   158.9   282.8   340.1   372.1   396.2   425.5   465.0   533.8   705.4  2070.0  3929.9  37910.3    37799
read      258.4   141.7    93.8   159.4   172.8   245.2   276.3   293.7   307.0   321.8   343.6   377.7   481.2  1785.1  6740.3   8306.6     8296
read      325.9   402.7    80.4   134.4   149.5   253.4   310.0   341.4   364.8   393.8   434.4   542.4  2413.9  5037.3  7961.7  69361.4    69443
read      284.3   132.8    93.8   158.9   175.6   268.9   308.9   331.7   347.9   369.4   397.2   442.8   599.9  1666.3  3437.5  12549.1    12517
read      313.0   190.9    80.4   139.3   156.1   281.9   342.3   377.8   404.8   439.9   492.8   574.5   819.4  2488.6  4054.8  43523.5    43591
read      296.2   161.0    86.8   150.1   167.9   279.0   327.0   353.2   372.0   395.3   425.0   471.2   626.1  2218.5  5054.1  20394.5    20430
read      329.5   398.4    80.4   136.4   152.2   260.7   316.8   349.1   373.6   405.1   454.5   570.7  2567.3  4876.3  7944.9  93730.5    93758
read      278.9   142.3    93.8   162.5   178.7   263.1   299.4   320.2   336.6   355.6   380.7   425.4   589.8  1599.5  7003.8  10482.1    10485
read      295.4   152.7    80.4   154.0   172.7   278.9   324.6   349.6   368.0   389.9   418.4   465.7   634.3  2025.3  4411.2  16535.5    16518
