Timestamp start: 1778760371212
Timestamp end: 1778761501563

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      349.1   677.7    74.4   118.9   132.4   245.0   302.8   337.9   367.0   406.6   469.3   578.7  5205.5  7577.1  9348.5  70089.0    70041
read      259.0   223.6    74.4   118.3   131.4   226.2   276.8   304.1   323.2   346.8   380.2   441.4   854.0  3278.4  7123.5  90267.2    90162
read      286.4   270.0    74.4   118.9   132.0   250.4   306.4   339.5   366.9   403.0   455.5   538.7   816.5  4130.6  8558.6  52098.4    52082
read      282.7   139.4    68.9   128.1   146.6   268.3   317.8   345.4   365.9   389.6   419.9   467.1   601.8  1622.4  3452.0  24300.0    24258
read      307.6   534.9    74.4   117.8   130.9   235.2   288.9   317.7   339.8   368.7   415.8   521.0  1947.7  7060.4  9965.4  71633.0    72013
read      304.3   324.8    74.4   117.7   130.9   249.0   308.2   344.7   375.9   419.7   482.9   592.4  1399.4  4740.5  7970.4  57828.0    58012
read      271.2   155.2    74.4   118.9   132.4   249.9   301.5   332.4   356.9   387.7   428.4   496.9   672.5  1787.3  3561.0  45482.6    45398
read      281.5   200.3    74.4   118.4   131.5   250.8   306.0   339.5   367.1   402.6   451.8   531.1   811.7  2793.9  5120.7  50440.8    50177
read      310.1   206.9    74.4   122.1   139.4   283.2   349.0   386.7   413.2   444.3   484.7   546.3   772.1  2746.0  6444.5  34556.6    34504
read      333.8   556.5    74.4   118.2   131.8   247.0   309.1   348.0   382.3   428.4   495.6   605.3  2502.0  7152.1  9377.7  66139.2    66010
read      293.6   319.3    74.4   117.5   130.7   236.8   294.7   328.3   355.4   393.3   458.1   585.6  1422.0  4502.5  7912.0  73996.2    73937
read      282.6   190.2    74.4   116.4   129.4   247.4   306.2   342.7   374.1   415.5   470.3   562.7   867.0  2141.5  4426.4  55173.2    55020
read      277.2   182.0    74.4   117.2   130.1   248.6   305.3   339.6   368.1   404.1   455.4   534.9   751.1  2018.5  4115.4  53312.0    53235
read      250.3   163.3    74.4   118.7   132.4   226.5   275.3   301.8   320.1   343.4   373.8   429.3   638.8  2393.8  3731.8  97583.6    97743
read      225.8   105.5    86.8   150.5   164.1   214.1   234.6   247.5   256.3   268.8   285.2   314.8   465.6  1536.5  4799.1   5473.8     5419
read      264.8   149.7    80.4   138.5   159.1   252.5   289.9   310.0   324.0   341.5   365.1   400.8   521.2  1850.9  6293.4  14700.8    14764
read      227.9    80.3    93.8   146.4   162.4   219.1   242.8   256.4   266.9   278.5   295.2   323.8   421.5   961.4  3063.4   7409.6     7451
read      277.4   201.8    80.4   119.0   132.3   250.0   303.0   333.9   358.7   390.9   434.0   507.2   736.1  3006.5  5024.1  48209.4    48208
read      263.1   193.4    80.4   136.5   156.4   248.7   284.6   304.5   318.6   336.9   360.1   396.3   516.3  2083.8  8902.8  16080.8    16149
