Timestamp start: 1778759203736
Timestamp end: 1778760334079

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      224.9   102.3    86.8   146.2   161.4   214.0   234.9   248.2   257.4   269.6   285.9   313.4   478.1  1372.4  2911.0   6948.8     6927
read      293.8   235.1    74.4   118.2   131.3   251.3   310.8   348.4   381.5   424.0   483.7   587.7  1060.1  2699.2  7817.2  52833.4    52892
read      264.6   242.4    74.4   119.5   133.1   229.3   280.3   308.2   328.6   353.9   389.6   456.7   892.1  3348.2  7409.6  99076.6    98921
read      288.1   257.8    74.4   117.1   129.9   242.4   303.3   340.6   371.7   413.8   471.2   574.7  1036.2  3987.4  7689.4  61295.4    61129
read      267.5   158.9    74.4   121.9   135.9   248.9   296.2   323.6   344.9   371.3   406.4   465.1   635.3  2075.7  4056.1  40616.0    40613
read      273.5   164.4    74.4   118.1   131.1   246.1   302.5   336.7   364.0   398.5   443.6   519.2   738.6  1648.5  4083.3  53279.6    53226
read      262.1   168.0    80.4   121.0   134.4   244.6   290.4   316.4   336.4   361.2   394.4   448.6   602.7  2036.1  6923.4  38634.4    38560
read      260.9   229.4    74.4   119.3   132.7   227.5   278.1   305.9   325.8   350.5   385.5   449.2   826.5  3320.5  7566.6 103182.4   103465
read      244.7   125.4    74.4   119.2   132.5   224.2   273.8   300.5   319.4   342.7   372.9   425.2   570.3  1454.5  3073.4 104433.4   104758
read      240.0   120.6    74.4   117.0   129.8   220.1   271.0   297.8   316.7   338.9   367.9   415.1   549.2  1246.0  3077.2  94847.4    94759
read      307.7   209.7    74.4   121.1   137.7   274.9   342.2   383.0   411.6   444.8   489.2   557.6   852.2  2803.5  4613.6  37851.2    37799
read      226.3   108.4    80.4   142.7   157.8   215.0   237.6   252.1   262.8   274.4   292.4   320.6   444.7  1571.5  3908.3   8330.8     8296
read      310.5   487.4    74.4   116.5   129.2   236.1   297.3   336.4   369.7   415.6   478.7   578.1  1216.1  6655.2  8108.9  69331.6    69443
read      250.8   117.3    74.4   139.9   159.7   239.5   271.5   289.2   301.9   317.2   338.7   373.0   516.3  1325.1  4308.1  12548.0    12517
read      258.2   131.4    74.4   119.4   132.3   243.1   289.9   316.1   336.8   362.3   396.0   450.2   591.1  1631.3  3386.2  43661.0    43591
read      272.7   162.9    80.4   131.1   148.9   257.7   300.6   324.2   341.9   363.3   390.5   431.8   580.6  1885.6  7517.1  20412.8    20430
read      256.5   252.5    74.4   118.8   131.9   226.7   278.5   306.0   325.4   348.7   381.2   436.9   655.2  4768.6  7940.7  93631.6    93758
read      240.9   114.4    86.8   143.3   161.7   229.9   257.5   273.3   285.5   298.7   317.3   346.3   462.2  1506.5  3200.0  10537.4    10485
read      263.2   131.7    80.4   134.5   153.3   250.4   289.4   310.6   325.5   343.1   367.3   403.4   549.0  1726.2  3182.3  16499.4    16518
read      283.7   440.8    74.4   116.9   129.8   229.7   283.5   312.2   333.4   359.8   398.3   484.8   952.0  6853.5  9982.2  83238.0    83230
read      218.2    80.3    93.8   146.6   160.2   208.6   228.3   239.5   249.3   261.0   275.2   305.3   422.8  1223.0  1979.2   5527.4     5484
read      269.8   170.1    74.4   116.6   129.1   242.3   297.0   329.4   355.7   390.5   437.2   513.8   732.6  2072.5  3563.1  55410.0    55611
read      279.2   171.8    80.4   131.5   150.2   262.1   306.3   330.7   348.1   370.3   398.8   443.9   655.6  2578.8  5340.5  20785.2    20774
read      273.6   332.4    74.4   120.5   134.4   232.4   284.8   313.3   334.5   360.5   396.3   464.5   798.9  6271.1  8568.8  96887.2    96726
read      305.9   229.3    74.4   122.3   139.5   276.5   339.1   374.6   399.9   429.0   467.0   531.4   791.9  3249.1  7423.6  32438.6    32442
read      287.8   302.5    68.9   116.1   128.9   233.9   294.1   330.0   360.2   401.7   467.4   580.6  1121.4  4726.0  7972.1  72884.2    73039
read      280.7   247.6    74.4   115.9   128.7   232.1   292.2   328.2   358.5   400.9   469.1   581.9   957.3  3365.7  7293.9  73894.2    74055
read      275.9   194.1    74.4   117.1   129.8   245.8   300.8   334.7   362.5   397.6   443.1   521.0   761.0  2667.4  4979.2  51042.0    51197
read      292.3   298.3    74.4   116.6   129.4   243.3   301.8   337.8   367.8   406.5   463.5   569.4  1128.7  4827.0  7902.3  59431.4    59442
