Timestamp start: 1778758032897
Timestamp end: 1778759163234

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      229.5   131.3    86.8   144.8   160.7   215.5   236.5   250.1   259.9   271.6   289.0   318.8   532.8  1964.5  4166.9   6830.2     6927
read      269.0   164.7    74.4   115.3   128.0   242.9   295.7   327.8   353.9   388.5   434.3   511.4   728.8  2017.2  3486.6  52806.2    52892
read      263.0   279.4    74.4   116.8   129.9   223.7   273.1   299.9   319.3   343.7   379.0   450.9   920.2  3659.6  7849.0  98711.0    98921
read      291.6   224.3    74.4   116.4   129.6   244.6   306.3   345.0   379.5   426.7   492.7   600.8  1092.2  2579.8  4304.5  61116.2    61129
read      318.0   238.4    74.4   118.3   134.4   281.8   357.1   399.6   429.8   464.1   509.6   581.8   862.0  3264.1  5692.9  40614.6    40613
read      267.9   171.7    74.4   115.5   128.1   242.4   295.5   327.1   352.8   386.9   432.9   508.1   698.1  2030.6  4272.9  53347.2    53226
read      307.5   190.4    68.9   118.4   134.5   277.7   347.7   388.6   417.4   451.2   495.4   563.0   792.4  2249.2  3376.1  38639.0    38560
read      298.4   471.3    74.4   119.8   134.1   237.4   289.5   319.2   342.8   373.6   420.5   518.4   966.5  6853.3  8564.5 103282.8   103465
read      240.8   113.8    74.4   118.1   131.2   221.8   269.0   294.6   313.7   337.0   368.7   422.8   567.7  1193.2  2370.7 104625.2   104758
read      236.6   121.4    74.4   116.2   128.9   217.5   266.1   292.0   310.5   332.2   361.1   406.6   548.0  1253.7  3155.4  94909.0    94759
read      305.6   224.1    74.4   120.1   136.0   272.3   335.9   375.5   404.5   438.4   483.1   555.2   800.5  2983.5  7443.1  38002.6    37799
read      231.6   112.4    86.8   143.1   159.6   219.5   243.3   257.3   268.4   281.4   297.7   328.5   478.6  1922.4  3082.1   8267.8     8296
read      281.8   220.9    74.4   115.5   128.3   236.6   298.5   337.3   369.9   415.5   480.3   582.7   879.4  3070.1  5488.1  69245.8    69443
read      245.9   108.6    80.4   136.3   154.6   235.8   267.5   285.1   297.1   312.7   332.3   365.0   487.3  1321.0  3080.2  12539.6    12517
read      260.7   140.7    74.4   117.9   130.7   243.9   292.0   319.1   340.8   367.8   403.6   463.0   613.9  1540.7  3369.7  43616.0    43591
read      265.2   170.9    74.4   129.6   146.7   248.9   288.6   311.2   327.9   347.6   374.7   420.5   567.5  2168.0  6905.0  20565.0    20430
read      274.6   403.8    74.4   117.6   130.7   227.3   277.5   305.0   324.7   349.6   386.3   456.3   771.6  6522.7  8009.7  93795.6    93758
read      241.8   132.3    80.4   140.4   158.7   229.0   256.7   272.5   284.7   298.0   318.0   351.3   516.4  1811.6  4308.5  10545.4    10485
read      264.0   136.1    74.4   132.3   151.5   251.6   290.0   311.1   326.0   344.0   368.9   404.6   559.7  1686.2  3734.7  16506.2    16518
read      302.8   543.7    74.4   116.2   129.3   229.3   280.5   308.9   330.4   358.4   401.1   502.5  1831.6  6926.8  8319.1  83284.2    83230
read      218.7   117.0    86.8   144.7   158.1   207.5   227.4   238.4   248.1   259.2   273.4   298.6   453.1  1634.2  4303.3   5466.0     5484
read      274.2   183.9    68.9   115.5   128.1   242.1   297.6   331.8   360.3   398.0   450.8   537.4   806.3  2114.4  4059.1  55496.2    55611
read      272.9   129.4    74.4   129.7   148.6   259.4   303.3   328.0   345.5   366.9   393.9   434.5   572.2  1724.0  2986.5  20728.4    20774
read      290.8   493.5    74.4   118.5   132.2   230.6   281.0   309.5   330.9   358.3   397.5   476.3   874.1  6900.9  9353.6  96717.8    96726
read      296.3   175.1    74.4   122.7   139.5   273.2   332.3   366.9   392.0   421.5   459.2   520.5   699.6  2255.5  3744.6  32549.4    32442
read      294.3   510.3    74.4   116.6   129.4   230.2   282.2   308.9   328.1   352.0   387.8   464.2  1700.8  6887.4  9003.3  73038.0    73039
read      232.6   112.3    74.4   114.7   126.7   218.4   268.2   292.8   309.8   329.1   353.5   392.4   490.3   936.8  2880.0  74068.4    74055
read      272.6   188.0    74.4   116.5   129.0   245.4   298.9   330.7   356.9   391.3   436.0   509.9   748.0  2075.7  5605.9  51099.2    51197
read      284.1   213.5    74.4   115.9   128.7   244.0   303.5   340.3   371.8   415.3   474.4   576.7   924.3  2611.1  6538.8  59594.8    59442
read      301.1   206.3    74.4   120.5   136.9   269.9   332.1   370.4   398.0   430.9   472.3   543.3   836.7  2665.9  5556.8  35685.4    35654
read      304.5   566.7    68.9   116.0   129.1   229.9   281.0   308.9   329.8   356.9   397.8   489.9  1993.3  6957.1  9160.4  78736.0    78747
read      271.6   209.5    74.4   118.2   131.5   247.6   295.4   323.9   346.3   374.7   412.7   473.2   681.0  3206.5  6194.8  42242.2    42212
read      289.7   234.7    74.4   116.6   129.8   250.7   309.5   346.5   378.4   418.1   469.3   561.0   938.9  3243.4  7367.2  52722.8    52488
